ablation,dataset,split_protocol,task_type,metric_name,n_seeds,mean_test_metric,std_test_metric,ci95_lower,ci95_upper,ci95_margin,per_seed_metrics,config_source,mean_test_mae,mean_test_r2,train_test_shift_sd,r2_reliable
gcn_no_infonce_fp,esol,scaffold,regression,rmse,5,0.9165,0.0275,0.8823,0.9506,0.0341,"[0.8781, 0.9092, 0.9111, 0.9326, 0.9512]",optuna_tuned:best_config.json(full_model_sibling),0.6963,0.8129,0.45,True
gcn_no_infonce_fp,freesolv,scaffold,regression,rmse,5,2.6166,0.1702,2.4053,2.8279,0.2113,"[2.3512, 2.5561, 2.6607, 2.75, 2.7648]",optuna_tuned:best_config.json(full_model_sibling),1.9459,0.4803,0.8,True
gcn_no_infonce_fp,lipo,scaffold,regression,rmse,5,0.8827,0.0236,0.8534,0.912,0.0293,"[0.8543, 0.864, 0.8907, 0.8909, 0.9135]",optuna_tuned:best_config.json(full_model_sibling),0.6904,0.3603,0.166,True
gcn_no_infonce_fp,cep,scaffold,regression,rmse,5,1.3125,0.0364,1.2672,1.3577,0.0453,"[1.2766, 1.2802, 1.3094, 1.3335, 1.3628]",optuna_tuned:best_config.json(full_model_sibling),0.8041,0.735,0.011,True
gcn_no_infonce_fp,malaria,scaffold,regression,rmse,5,1.9605,0.0123,1.9453,1.9758,0.0152,"[1.9438, 1.9549, 1.9591, 1.9714, 1.9735]",optuna_tuned:best_config.json(full_model_sibling),1.68,-3.0463,1.585,False
gcn_no_codebook_fp,esol,scaffold,regression,rmse,5,0.932,0.0376,0.8852,0.9787,0.0467,"[0.8881, 0.9161, 0.9167, 0.9544, 0.9844]",optuna_tuned:best_config.json(full_model_sibling),0.696,0.8064,0.45,True
gcn_no_codebook_fp,freesolv,scaffold,regression,rmse,5,2.673,0.258,2.3527,2.9933,0.3203,"[2.473, 2.4856, 2.5076, 2.8756, 3.0232]",optuna_tuned:best_config.json(full_model_sibling),2.0212,0.4554,0.8,True
gcn_no_codebook_fp,lipo,scaffold,regression,rmse,5,0.8795,0.0058,0.8723,0.8867,0.0072,"[0.8723, 0.8768, 0.8781, 0.8828, 0.8875]",optuna_tuned:best_config.json(full_model_sibling),0.6794,0.3653,0.166,True
gcn_no_codebook_fp,cep,scaffold,regression,rmse,5,1.3024,0.0192,1.2786,1.3263,0.0238,"[1.278, 1.2907, 1.3026, 1.3136, 1.3272]",optuna_tuned:best_config.json(full_model_sibling),0.7966,0.7392,0.011,True
gcn_no_codebook_fp,malaria,scaffold,regression,rmse,5,2.0093,0.0106,1.9961,2.0224,0.0132,"[2.0017, 2.0023, 2.0049, 2.0102, 2.0272]",optuna_tuned:best_config.json(full_model_sibling),1.7301,-3.25,1.585,False
