split_protocol,ablation,dataset,task_type,metric_name,n_seeds,seeds,mean_test_metric,std_test_metric,mean_best_val_metric,per_seed_metrics,config_source,gnn_conv,zero_phys_branch,distill_weight,cross_distill_weight,ih_rank,ih_num_prototypes,use_fingerprint,fp_stage,ih_block_proj,mean_test_mae,mean_test_r2
scaffold,gcn_no_3d_infonce_fp,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",1.3206,0.0228,1.3204,"[1.3092, 1.3607, 1.3045, 1.315, 1.3138]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.08387167822214522,0.0,16,8,False,head,True,1.0425,0.6117
scaffold,gcn_no_3d_infonce_fp,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.685,0.3288,3.9294,"[2.9736, 2.5024, 3.1046, 2.3923, 2.4523]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0010271807131052074,0.0,64,6,False,head,True,2.0657,0.448
scaffold,gcn_no_3d_infonce_fp,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.9149,0.0213,0.9164,"[0.9365, 0.9378, 0.9086, 0.9014, 0.8902]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0010271807131052074,0.0,64,6,False,head,True,0.7062,0.3129
scaffold,gcn_no_3d_infonce_fp,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.9492,0.0225,0.6572,"[1.9536, 1.9771, 1.9467, 1.9539, 1.9146]",optuna_tuned:best_config.json(full_model_sibling),gcn,True,0.0036055908285175485,0.0,16,3,False,head,True,1.6635,-2.9999
scaffold,gcn_no_codebook,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.0984,0.028,1.1528,"[1.0762, 1.1085, 1.0688, 1.0991, 1.1393]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.009005588897543012,0.1,0,0,True,head,True,0.5154,0.8145
scaffold,gcn_no_codebook,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.9305,0.0191,0.8903,"[0.9356, 0.9442, 0.9, 0.9252, 0.9476]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.08387167822214522,0.02,0,0,True,head,True,0.7027,0.8072
scaffold,gcn_no_codebook,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.3373,0.1506,3.5158,"[2.3246, 2.3714, 2.365, 2.5217, 2.1036]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.0010271807131052074,0.1,0,0,True,head,True,1.8056,0.5853
scaffold,gcn_no_codebook,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.7113,0.012,0.7381,"[0.7064, 0.7162, 0.7217, 0.6925, 0.7195]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.0010271807131052074,0.1,0,0,True,head,True,0.55,0.5848
scaffold,gcn_no_codebook,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.9588,0.0125,0.6708,"[1.9736, 1.9544, 1.9406, 1.9662, 1.9592]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.0036055908285175485,0.05,0,0,True,head,True,1.6772,-3.0391
scaffold,gcn_no_codebook_fp,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.3024,0.0192,1.3656,"[1.3136, 1.2907, 1.3026, 1.3272, 1.278]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.009005588897543012,0.1,0,0,False,head,True,0.7966,0.7392
scaffold,gcn_no_codebook_fp,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.932,0.0376,0.9125,"[0.9167, 0.9844, 0.9161, 0.8881, 0.9544]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.08387167822214522,0.02,0,0,False,head,True,0.696,0.8064
scaffold,gcn_no_codebook_fp,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.673,0.258,4.1248,"[2.5076, 2.473, 2.8756, 3.0232, 2.4856]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.0010271807131052074,0.1,0,0,False,head,True,2.0212,0.4554
scaffold,gcn_no_codebook_fp,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.8795,0.0058,0.8851,"[0.8875, 0.8828, 0.8723, 0.8781, 0.8768]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.0010271807131052074,0.1,0,0,False,head,True,0.6794,0.3653
scaffold,gcn_no_codebook_fp,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",2.0093,0.0106,0.6955,"[2.0272, 2.0023, 2.0017, 2.0049, 2.0102]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.0036055908285175485,0.05,0,0,False,head,True,1.7301,-3.25
scaffold,gcn_no_fp,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.3171,0.0231,1.3742,"[1.3147, 1.3075, 1.2848, 1.3408, 1.3376]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.009005588897543012,0.1,64,4,False,head,True,0.803,0.7333
scaffold,gcn_no_fp,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.924,0.0342,0.9264,"[0.9531, 0.9075, 0.8793, 0.917, 0.9629]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.08387167822214522,0.02,16,8,False,head,True,0.701,0.8098
scaffold,gcn_no_fp,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.6706,0.2164,4.3086,"[2.7403, 2.5575, 2.8773, 2.8275, 2.3506]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.0010271807131052074,0.1,64,6,False,head,True,2.0134,0.4575
scaffold,gcn_no_fp,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.8884,0.0267,0.9051,"[0.889, 0.928, 0.8614, 0.8667, 0.8968]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.0010271807131052074,0.1,64,6,False,head,True,0.6921,0.3519
scaffold,gcn_no_fp,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.9613,0.0129,0.677,"[1.9559, 1.9734, 1.9607, 1.9738, 1.943]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.0036055908285175485,0.05,16,3,False,head,True,1.6799,-3.0497
scaffold,gcn_no_infonce,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.0692,0.026,1.1375,"[1.0664, 1.0569, 1.0422, 1.1119, 1.0688]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.009005588897543012,0.0,64,4,True,head,True,0.5327,0.8242
scaffold,gcn_no_infonce,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.891,0.0399,0.9277,"[0.9492, 0.8591, 0.89, 0.9069, 0.8497]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.08387167822214522,0.0,16,8,True,head,True,0.676,0.823
scaffold,gcn_no_infonce,freesolv,regression,rmse,5,"[0, 1, 2, 3, 42]",2.012,0.2672,3.1869,"[2.3305, 1.9634, 2.2409, 1.813, 1.7123]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.0010271807131052074,0.0,64,6,True,head,True,1.5552,0.6894
scaffold,gcn_no_infonce,lipo,regression,rmse,5,"[0, 1, 2, 3, 42]",0.7281,0.0213,0.7537,"[0.7208, 0.7224, 0.7005, 0.7565, 0.7404]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.0010271807131052074,0.0,64,6,True,head,True,0.5608,0.5647
scaffold,gcn_no_infonce,malaria,regression,rmse,5,"[0, 1, 2, 3, 42]",1.9498,0.0164,0.6695,"[1.9722, 1.9453, 1.9603, 1.9402, 1.9312]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.0036055908285175485,0.0,16,3,True,head,True,1.6672,-3.0023
scaffold,gcn_no_infonce_codebook,cep,regression,rmse,5,"[0, 1, 2, 3, 42]",1.0942,0.0228,1.1562,"[1.1007, 1.131, 1.075, 1.0861, 1.0784]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.009005588897543012,0.0,0,0,True,head,True,0.5293,0.8159
scaffold,gcn_no_infonce_codebook,esol,regression,rmse,5,"[0, 1, 2, 3, 42]",0.9297,0.0265,0.8843,"[0.9331, 0.9353, 0.8901, 0.9263, 0.964]",optuna_tuned:best_config.json(full_model_sibling),gcn,False,0.08387167822214522,0.0,0,0,True,head,True,0.7,0.8075
